Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
75398078,-1.56,-172.55,4.5,11.13,-3.2,5.5,-35.6
75575068,-1.52,-172.89,4.4,11.46,-3.1,5.4,-35.1
75752060,-1.50,-173.23,4.3,11.62,-2.9,5.2,-34.2
75929050,-1.48,-173.51,4.3,11.73,-2.8,5.1,-33.4
76106040,-1.46,-173.88,4.2,11.89,-2.7,5.0,-32.2
76283032,-1.44,-174.16,4.2,12.08,-2.5,4.9,-31.4
76460022,-1.43,-174.42,4.1,12.17,-2.4,4.8,-30.4
76637012,-1.42,-174.75,4.1,12.24,-2.3,4.7,-29.1
76814004,-1.41,-175.06,4.1,12.34,-2.1,4.6,-27.8
76990994,-1.40,-175.33,4.0,12.44,-2.0,4.5,-26.7
77167984,-1.39,-175.64,4.0,12.56,-1.9,4.4,-25.4
77344976,-1.38,-175.87,4.0,12.62,-1.8,4.4,-24.3
77521966,-1.37,-176.12,3.9,12.68,-1.7,4.3,-23.1
77698956,-1.36,-176.30,3.9,12.76,-1.6,4.2,-22.3
77875948,-1.36,-176.55,3.9,12.80,-1.5,4.2,-21.0
78052938,-1.36,-176.81,3.9,12.82,-1.4,4.1,-19.5
78229928,-1.35,-177.02,3.9,12.88,-1.3,4.1,-18.4
78406920,-1.35,-177.22,3.9,12.89,-1.2,4.1,-17.2
78583910,-1.34,-177.47,3.9,12.98,-1.1,4.0,-15.9
78760900,-1.35,-177.72,3.9,12.93,-1.0,4.0,-14.3
78937892,-1.34,-177.93,3.8,13.01,-0.9,3.9,-13.2
79114882,-1.33,-178.15,3.8,13.06,-0.8,3.9,-11.8
79291872,-1.33,-178.32,3.8,13.11,-0.7,3.9,-10.8
79468864,-1.33,-178.56,3.8,13.10,-0.6,3.9,-9.3
79645854,-1.33,-178.78,3.8,13.11,-0.5,3.9,-7.9
79822844,-1.33,-179.03,3.8,13.06,-0.4,3.9,-6.3
79999836,-1.33,-179.25,3.8,13.08,-0.3,3.8,-4.9
80176826,-1.32,-179.46,3.8,13.16,-0.2,3.8,-3.5
80353816,-1.32,-179.66,3.8,13.16,-0.1,3.8,-2.2
80530808,-1.32,-179.90,3.8,13.21,-0.0,3.8,-0.6
80707798,-1.32,179.89,3.8,13.19,0.0,3.8,0.7
80884788,-1.32,179.64,3.8,13.14,0.2,3.8,2.3
81061780,-1.32,179.46,3.8,13.23,0.2,3.8,3.5
81238770,-1.32,179.25,3.8,13.18,0.3,3.8,4.9
81415760,-1.32,179.00,3.8,13.21,0.4,3.8,6.6
81592752,-1.32,178.72,3.8,13.14,0.6,3.8,8.3
81769742,-1.33,178.56,3.8,13.13,0.6,3.9,9.3
81946732,-1.32,178.33,3.8,13.17,0.7,3.9,10.8
82123724,-1.33,178.02,3.8,13.09,0.9,3.9,12.7
82300714,-1.33,177.81,3.8,13.08,1.0,3.9,14.0
82477704,-1.34,177.52,3.9,12.97,1.1,4.0,15.6
82654696,-1.35,177.30,3.9,12.88,1.2,4.1,16.8
82831686,-1.35,176.99,3.9,12.86,1.3,4.1,18.5
83008676,-1.37,176.71,3.9,12.68,1.4,4.2,19.9
83185668,-1.38,176.44,4.0,12.65,1.5,4.2,21.3
83362658,-1.39,176.20,4.0,12.49,1.6,4.3,22.4
83539648,-1.42,175.89,4.1,12.29,1.8,4.4,23.6
83716640,-1.43,175.59,4.1,12.20,1.9,4.5,25.0
83893630,-1.46,175.35,4.2,11.96,2.0,4.6,25.7
84070620,-1.48,175.09,4.3,11.74,2.1,4.8,26.5
84247612,-1.50,174.86,4.3,11.58,2.2,4.9,27.3
84424602,-1.53,174.58,4.4,11.35,2.3,5.0,28.0
84601592,-1.56,174.35,4.5,11.17,2.4,5.1,28.6
84778584,-1.60,174.04,4.6,10.92,2.6,5.3,29.3
84955574,-1.63,173.89,4.7,10.68,2.6,5.4,29.4
85132564,-1.66,173.63,4.8,10.49,2.8,5.5,30.0
85309556,-1.71,173.45,4.9,10.19,2.8,5.7,29.9
85486546,-1.76,173.30,5.1,9.90,2.9,5.8,29.8
85663536,-1.81,173.11,5.2,9.62,3.0,6.0,29.7
85840528,-1.86,172.94,5.4,9.37,3.0,6.2,29.7
86017518,-1.93,172.79,5.5,9.06,3.1,6.4,29.3
86194508,-1.98,172.74,5.7,8.81,3.1,6.5,28.8
86371500,-2.05,172.65,5.9,8.51,3.2,6.7,28.2
86548490,-2.11,172.71,6.1,8.28,3.1,6.8,27.4
86725480,-2.17,172.80,6.2,8.06,3.1,7.0,26.4
86902472,-2.22,172.88,6.4,7.88,3.1,7.1,25.7
87079462,-2.28,173.10,6.5,7.68,3.0,7.2,24.4
87256452,-2.33,173.31,6.7,7.52,2.9,7.3,23.3
87433444,-2.38,173.45,6.8,7.34,2.8,7.4,22.3
87610434,-2.42,173.74,6.9,7.22,2.7,7.4,21.1
87787424,-2.46,174.03,7.0,7.11,2.6,7.5,19.9
87964416,-2.48,174.37,7.1,7.05,2.4,7.5,18.7
88141406,-2.51,174.67,7.2,6.97,2.3,7.5,17.6
