Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
80707798,-1.11,177.18,3.2,15.71,1.2,3.4,21.1
80884788,-1.11,176.95,3.2,15.63,1.3,3.5,22.5
81061780,-1.11,176.79,3.2,15.73,1.4,3.5,23.7
81238770,-1.10,176.63,3.2,15.78,1.5,3.5,24.8
81415760,-1.09,176.45,3.1,15.98,1.5,3.5,26.2
81592752,-1.09,176.23,3.1,16.00,1.6,3.5,27.7
81769742,-1.09,176.14,3.1,15.98,1.7,3.6,28.1
81946732,-1.08,175.98,3.1,16.04,1.7,3.6,29.3
82123724,-1.09,175.74,3.1,15.91,1.9,3.7,30.5
82300714,-1.09,175.60,3.1,15.95,1.9,3.7,31.4
82477704,-1.10,175.37,3.2,15.84,2.0,3.7,32.5
82654696,-1.11,175.22,3.2,15.73,2.1,3.8,33.1
82831686,-1.10,174.98,3.2,15.88,2.2,3.8,34.7
83008676,-1.10,174.78,3.2,15.81,2.3,3.9,35.6
83185668,-1.09,174.58,3.1,15.93,2.4,3.9,36.8
83362658,-1.10,174.43,3.2,15.87,2.4,4.0,37.5
83539648,-1.11,174.21,3.2,15.74,2.5,4.1,38.3
83716640,-1.10,174.00,3.2,15.77,2.6,4.1,39.4
83893630,-1.11,173.81,3.2,15.69,2.7,4.2,40.1
84070620,-1.11,173.59,3.2,15.63,2.8,4.3,41.0
84247612,-1.11,173.41,3.2,15.68,2.9,4.3,41.9
84424602,-1.12,173.18,3.2,15.53,3.0,4.4,42.6
84601592,-1.13,173.00,3.2,15.45,3.0,4.5,43.2
84778584,-1.14,172.73,3.3,15.23,3.2,4.6,43.8
84955574,-1.15,172.55,3.3,15.12,3.2,4.6,44.3
85132564,-1.15,172.28,3.3,15.09,3.4,4.7,45.3
85309556,-1.18,172.07,3.4,14.80,3.4,4.8,45.4
85486546,-1.19,171.87,3.4,14.60,3.5,4.9,45.8
85663536,-1.21,171.63,3.5,14.42,3.6,5.0,46.2
85840528,-1.22,171.42,3.5,14.28,3.7,5.1,46.7
86017518,-1.24,171.18,3.6,14.01,3.8,5.3,46.9
86194508,-1.26,171.03,3.6,13.85,3.9,5.3,47.0
86371500,-1.28,170.86,3.7,13.55,4.0,5.4,47.0
86548490,-1.31,170.64,3.8,13.29,4.1,5.6,47.1
86725480,-1.33,170.46,3.9,13.06,4.1,5.7,47.1
86902472,-1.35,170.28,3.9,12.90,4.2,5.8,47.3
87079462,-1.38,170.09,4.0,12.59,4.3,5.9,47.1
87256452,-1.40,169.91,4.1,12.41,4.4,6.0,47.2
87433444,-1.43,169.66,4.1,12.18,4.5,6.1,47.4
87610434,-1.47,169.54,4.3,11.86,4.5,6.2,46.9
87787424,-1.51,169.41,4.4,11.56,4.6,6.3,46.5
87964416,-1.53,169.33,4.4,11.42,4.6,6.4,46.4
88141406,-1.58,169.22,4.6,11.05,4.7,6.5,45.7
88318396,-1.61,169.09,4.7,10.80,4.7,6.6,45.4
88495388,-1.66,169.06,4.8,10.51,4.7,6.8,44.7
88672378,-1.69,168.99,4.9,10.31,4.8,6.8,44.3
