Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
70973312,-1.63,-167.46,4.7,10.72,-5.4,7.2,-49.1
71150302,-1.64,-167.56,4.8,10.61,-5.4,7.2,-48.5
71327292,-1.65,-167.63,4.8,10.55,-5.4,7.2,-48.2
71504284,-1.66,-167.77,4.8,10.47,-5.3,7.2,-47.7
71681274,-1.68,-167.89,4.9,10.40,-5.3,7.2,-47.2
71858264,-1.69,-167.93,4.9,10.31,-5.2,7.2,-46.9
72035256,-1.71,-168.02,5.0,10.18,-5.2,7.2,-46.3
72212246,-1.72,-168.06,5.0,10.15,-5.2,7.2,-46.1
72389236,-1.73,-168.14,5.0,10.09,-5.1,7.2,-45.8
72566228,-1.73,-168.12,5.0,10.07,-5.1,7.2,-45.7
72743218,-1.75,-168.25,5.1,9.98,-5.1,7.2,-45.2
72920208,-1.77,-168.35,5.1,9.86,-5.0,7.2,-44.6
73097200,-1.78,-168.43,5.2,9.78,-5.0,7.2,-44.1
73274190,-1.79,-168.48,5.2,9.73,-5.0,7.2,-43.9
73451180,-1.80,-168.52,5.2,9.71,-5.0,7.2,-43.7
73628172,-1.80,-168.55,5.2,9.67,-5.0,7.2,-43.5
73805162,-1.81,-168.54,5.2,9.63,-5.0,7.2,-43.4
73982152,-1.83,-168.54,5.3,9.54,-5.0,7.3,-43.2
74159144,-1.85,-168.59,5.3,9.45,-4.9,7.3,-42.7
74336134,-1.85,-168.60,5.4,9.43,-4.9,7.3,-42.6
74513124,-1.86,-168.58,5.4,9.38,-4.9,7.3,-42.6
74690116,-1.87,-168.57,5.4,9.34,-4.9,7.3,-42.4
74867106,-1.88,-168.57,5.4,9.29,-4.9,7.3,-42.3
75044096,-1.87,-168.61,5.4,9.34,-4.9,7.3,-42.4
75221088,-1.88,-168.58,5.4,9.29,-4.9,7.3,-42.3
75398078,-1.88,-168.60,5.5,9.26,-4.9,7.4,-42.1
75575068,-1.87,-168.63,5.4,9.31,-4.9,7.3,-42.2
75752060,-1.88,-168.66,5.5,9.25,-4.9,7.3,-42.0
75929050,-1.88,-168.58,5.5,9.26,-4.9,7.4,-42.2
76106040,-1.88,-168.59,5.4,9.27,-4.9,7.4,-42.2
